AppV2 10.423766 6.000000 0.000000 2.000000 0.000000 0.000000
AppV2 20.423772 12.000000 0.000000 52.000000 0.000000 0.000000
AppV2 30.456263 16.000000 0.000000 126.000000 0.000000 0.000000
AppV2 40.948967 20.000000 0.000000 189.000000 0.000000 0.000000
AppV2 50.948971 24.000000 0.000000 269.000000 0.000000 0.000000
AppV2 60.948972 29.000000 0.000000 361.000000 0.000000 0.000000
AppV2 70.948972 30.000000 0.000000 461.000000 0.000000 0.000000
AppV2 80.948973 30.000000 0.000000 551.000000 0.000000 0.000000
AppV2 91.165048 31.000000 0.000000 625.000000 0.000000 0.000000
AppV2 101.165048 35.000000 0.000000 686.000000 0.000000 0.000000
AppV2 111.165048 38.000000 0.000000 746.000000 0.000000 0.000000
AppV2 121.165049 41.000000 0.000000 843.000000 0.000000 0.000000
AppV2 131.323406 44.000000 2.000000 988.000000 0.000000 0.000000
AppV2 141.414372 46.000000 2.000000 1156.000000 0.000000 0.000000
AppV2 151.414376 47.000000 2.000000 1319.000000 11.000000 11.000000
AppV2 161.456258 49.000000 2.000000 1476.000000 31.000000 31.000000
AppV2 171.456259 49.000000 3.000000 1649.000000 53.000000 53.000000
AppV2 181.456260 50.000000 4.000000 1861.000000 81.000000 81.000000
AppV2 191.456262 52.000000 4.000000 2101.000000 93.000000 93.000000
AppV2 201.456265 58.000000 4.000000 2352.000000 129.000000 129.000000
AppV2 211.503120 62.000000 11.000000 2629.000000 165.000000 165.000000
AppV2 221.503125 64.000000 12.000000 2867.000000 191.000000 191.000000
AppV2 231.520048 67.000000 15.000000 3061.000000 201.000000 201.000000
AppV2 241.520049 70.000000 27.000000 3341.000000 212.000000 212.000000
AppV2 251.536691 73.000000 48.000000 3709.000000 246.000000 248.000000
AppV2 261.549576 75.000000 60.000000 4092.000000 339.000000 346.000000
AppV2 271.610599 77.000000 78.000000 4503.000000 389.000000 397.000000
AppV2 281.649648 78.000000 108.000000 4993.000000 437.000000 445.000000
AppV2 291.654522 81.000000 123.000000 5482.000000 530.000000 538.000000
AppV2 301.654533 84.000000 125.000000 6034.000000 600.000000 608.000000
AppV2 311.661594 87.000000 152.000000 6794.000000 693.000000 702.000000
AppV2 321.662080 89.000000 218.000000 7548.000000 837.000000 849.000000
AppV2 331.686429 89.000000 263.000000 8422.000000 944.000000 956.000000
AppV2 341.687074 91.000000 327.000000 9560.000000 1122.000000 1134.000000
AppV2 351.687075 93.000000 392.000000 10756.000000 1250.000000 1268.000000
AppV2 361.687077 93.000000 435.000000 12004.000000 1453.000000 1476.000000
AppV2 371.687080 95.000000 489.000000 13287.000000 1778.000000 1801.000000
AppV2 381.694504 98.000000 530.000000 14524.000000 2011.000000 2040.000000
AppV2 391.696699 98.000000 583.000000 15810.000000 2235.000000 2271.000000
AppV2 401.696706 98.000000 661.000000 16973.000000 2478.000000 2520.000000
AppV2 411.696708 98.000000 730.000000 18259.000000 2783.000000 2826.000000
AppV2 421.696711 98.000000 794.000000 19567.000000 3075.000000 3125.000000
AppV2 431.739123 97.000000 856.000000 21073.000000 3472.000000 3581.000000
AppV2 441.739124 94.000000 911.000000 22427.000000 3907.000000 4051.000000
AppV2 451.740857 96.000000 966.000000 23882.000000 4313.000000 4470.000000
AppV2 461.746834 99.000000 1041.000000 25335.000000 4584.000000 4752.000000
AppV2 471.746834 101.000000 1120.000000 26860.000000 4869.000000 5041.000000
AppV2 481.754800 106.000000 1198.000000 28238.000000 5257.000000 5432.000000
AppV2 491.754805 105.000000 1327.000000 29695.000000 5613.000000 5796.000000
AppV2 501.757126 104.000000 1498.000000 31217.000000 6080.000000 6266.000000
AppV2 511.757887 102.000000 1701.000000 32785.000000 6507.000000 6699.000000
AppV2 521.766807 103.000000 1836.000000 34202.000000 6908.000000 7105.000000
AppV2 531.766810 105.000000 1942.000000 35622.000000 7423.000000 7629.000000
AppV2 541.780468 104.000000 2100.000000 37140.000000 7747.000000 7958.000000
AppV2 551.780474 106.000000 2199.000000 38511.000000 7994.000000 8206.000000
AppV2 561.789210 105.000000 2260.000000 39741.000000 8294.000000 8525.000000
