mdaV2 10.423766 0 6 0.000000 0 0 0.000000
mdaV2 10.423766 0 6 0.000000 0 0 0.000000
mdaV2 20.423772 0 11 0.000000 0 1 0.000000
mdaV2 20.423772 0 11 0.000000 0 1 0.000000
mdaV2 30.456263 0 15 0.000000 0 1 0.000000
mdaV2 30.456263 0 15 0.000000 0 1 0.000000
mdaV2 40.948967 0 19 0.000000 0 2 0.000000
mdaV2 40.948967 0 19 0.000000 0 2 0.000000
mdaV2 50.948971 0 23 0.000000 0 2 0.000000
mdaV2 50.948971 0 23 0.000000 0 2 0.000000
mdaV2 60.948972 0 27 0.000000 0 3 0.000000
mdaV2 60.948972 0 27 0.000000 0 3 0.000000
mdaV2 70.948972 0 28 0.000000 0 3 0.000000
mdaV2 70.948972 0 28 0.000000 0 3 0.000000
mdaV2 80.948973 0 28 0.000000 0 3 0.000000
mdaV2 80.948973 0 28 0.000000 0 3 0.000000
mdaV2 91.165048 0 29 0.000000 0 3 0.000000
mdaV2 91.165048 0 29 0.000000 0 3 0.000000
mdaV2 101.165048 0 33 0.000000 0 3 0.000000
mdaV2 101.165048 0 33 0.000000 0 3 0.000000
mdaV2 111.165048 0 35 0.000000 0 4 0.000000
mdaV2 111.165048 0 35 0.000000 0 4 0.000000
mdaV2 121.165049 0 38 0.000000 0 4 0.000000
mdaV2 121.165049 0 38 0.000000 0 4 0.000000
mdaV2 131.323406 2 41 81.708930 0 4 0.000000
mdaV2 131.323406 2 41 81.708930 0 4 0.000000
mdaV2 141.414372 2 43 81.708930 0 6 0.000000
mdaV2 141.414372 2 43 81.708930 0 6 0.000000
mdaV2 151.414376 2 44 81.708930 11 26 0.000113
mdaV2 151.414376 2 44 81.708930 11 26 0.000113
mdaV2 161.456258 2 46 81.708930 31 46 0.000112
mdaV2 161.456258 2 46 81.708930 31 46 0.000112
mdaV2 171.456259 2 46 81.708930 52 66 3.013088
mdaV2 171.456259 2 46 81.708930 52 66 3.013088
mdaV2 181.456260 3 48 98.769763 70 86 2.238323
mdaV2 181.456260 3 48 98.769763 70 86 2.238323
mdaV2 191.456262 3 50 98.769763 71 104 3.329726
mdaV2 191.456262 3 50 98.769763 71 104 3.329726
mdaV2 201.456265 3 55 98.769763 71 105 3.329726
mdaV2 201.456265 3 55 98.769763 71 105 3.329726
mdaV2 211.503120 6 59 124.603460 72 105 3.379364
mdaV2 211.503120 6 59 124.603460 72 105 3.379364
mdaV2 221.503125 7 61 117.523031 72 105 3.379364
mdaV2 221.503125 7 61 117.523031 72 105 3.379364
mdaV2 231.520048 9 63 121.425965 72 106 3.379364
mdaV2 231.520048 9 63 121.425965 72 106 3.379364
mdaV2 241.520049 10 68 133.313133 72 106 3.379364
mdaV2 241.520049 10 68 133.313133 72 106 3.379364
mdaV2 251.536691 14 70 142.367848 73 107 3.338765
mdaV2 251.536691 14 70 142.367848 73 107 3.338765
